"kappa_max_liq_aux","kappa_liq_aux","mu_liq_aux","kappa_max_vap_aux","kappa_vap_aux","mu_vap_aux","beta_max_aux","beta_aux","pI_aux","vI_aux","TI_aux","gx","jump_alpha","jump_pressure_liquid","jump_pressure_vapor","jump_rho_liquid","jump_rho_vapor","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
100.89616920653639909,0.10392603047346188339,0.10392603047346188339,63.193643627977955646,0.94254070590206784352,0.94254070590206784352,5.9398599363085420322,0.71436807961428550051,0.71058224591656804492,0,599.37158767052073927,0,0.014774406508808901606,51620.289129383862019,51620.732741139829159,1.0933488247528657666,0.41395401330521508498,0,233,233,3
101.05749336974849939,0.13586149246515222266,0.13586149246515222266,63.131759235643002626,1.2374122264686846506,1.2374122264686846506,5.8536905575742048669,0.88356920710756681192,0.7707761034851088322,0,599.19913633924443275,0,0.017515461145284572098,66582.026101343333721,66582.397146485745907,1.3361898345115150732,0.52811654932446572275,0,234,234,3
101.24855399447284299,0.17502726258383791147,0.17502726258383791147,63.054796746699551591,1.6028093330998856025,1.6028093330998856025,5.745195834854058603,1.0975373741747023182,0.84046988640072750609,0,598.97396766955421299,0,0.021094767267827219115,84306.391260795295238,84306.958168990910053,1.6863713011475738313,0.66959279118930226105,0,235,235,3
101.47644004203588963,0.24744115711759331888,0.24744115711759331888,62.958224503086434254,2.2816852097010364986,2.2816852097010364986,5.6076404991250656806,1.3579289281182389537,0.92033089191040873267,0,598.68184873119287204,0,0.024545309430893613722,116534.07343953102827,116534.34699070453644,2.0189829180771994288,0.9175114817855956062,0,236,236,3
101.74531005966434805,0.30206108132895420626,0.30206108132895420626,62.837405365154893389,2.8103929703196208756,2.8103929703196208756,5.4329776711085235874,1.6779534422720521203,1.010185163817772791,0,598.29652115178589611,0,0.028124809679255236006,138115.56648374348879,138115.99964847415686,2.4612993106647991226,1.0731202343162635771,0,237,237,3
102.06351928114159477,0.42854017535500665836,0.42854017535500665836,62.685129932997398328,4.0326954942497135193,4.0326954942497135193,5.211818333517327595,2.0550482171328505743,1.1088486466398066455,0,597.79973559992311039,0,0.030623842288484137697,188443.77893013507128,188443.63905872404575,2.801084729413560126,1.4487327671968159848,0,238,238,3
102.43125398895224976,0.48851379232527192276,0.48851379232527192276,62.495010181413029215,4.6644573866495484538,4.6644573866495484538,4.9323621783467821444,2.4852981829067655184,1.2135239175627554609,0,597.14917957670445503,0,0.030756585615867582106,203903.29071699082851,203902.95339247584343,3.0695208626411840669,1.5270868760204052705,0,239,239,3
102.85095165607097556,0.64174358272542486592,0.64174358272542486592,62.258788994408689632,6.238974630191117754,6.238974630191117754,4.5856708978629185935,2.9459366150479455726,1.3191601080570065641,0,596.32945644298069965,0,0.027654268116926061793,249888.45967768132687,249887.0621375516057,3.0484570471444385475,1.83252759878314464,0,240,240,3
103.31198467301894084,0.62890522810857851788,0.62890522810857851788,61.972251345555591229,6.251227779604671575,6.251227779604671575,4.163092762022275295,3.3833465193330347631,1.4191809244208719587,0,595.29779805237717483,0,0.021078477654937088914,223165.66414687037468,223164.13572539389133,2.5727623218795088178,1.5869623011982412208,0,241,241,3
103.80121547617346778,0.70467227582269298392,0.70467227582269298392,61.636187952435214754,7.1885621718443672989,7.1885621718443672989,3.6683833968602295172,3.585280305132085843,1.5065432353054359904,0,594.0713638397851355,0,0.01279773375300763405,221220.81377859413624,221217.84531662613153,1.2135443172292070813,1.5033026000165534697,0,242,242,3
104.26511235500558428,0.64877996765986090111,0.64877996765986090111,61.255234435145979432,6.8166011739931251512,6.8166011739931251512,3.1063577937086925829,3.1063577937086925829,1.5764931328091580376,0,592.6418718526599605,0,0.025789186300707367394,173078.84489490091801,173080.71136243641376,2.0320908363723901857,1.3883782297385778293,0,243,243,3
104.6221380395698759,1.0096051650111768083,1.0096051650111768083,60.860854883321053421,10.945095217069013671,10.945095217069013671,2.5254467663846500436,2.5254467663846500436,1.6239652850028984954,0,591.0785222278738047,0,0.053664571602421329288,219721.13614636659622,219725.09613144397736,3.8124321817726922745,1.890527255319170763,0,244,244,3
104.89646931597621915,1.7169440948189347296,1.7169440948189347296,60.497879938715755088,19.133668412873031883,19.133668412873031883,2.0088387440080079926,2.0088387440080079926,1.6485903586944297139,0,589.68104270675530643,0,0.05455110002497942645,298246.99274501949549,298244.54735153913498,3.3547828323489738978,2.27042425844726381,0,245,245,3
105.13343404478330001,1.7129617036048858658,1.7129617036048858658,60.191879766612927938,19.527816131091185525,19.527816131091185525,1.5794770217062903406,1.5794770217062903406,1.6581248804314092649,0,588.52351162069408019,0,0.038834437355156570248,234568.64140685647726,234565.80310579389334,2.7523382124613817723,1.7103516791540300801,0,246,246,3
105.33941120328657348,1.7249754026328563139,1.7249754026328563139,59.937625692905243113,20.041388527587098878,20.041388527587098878,1.2228286171513453873,1.2228286171513453873,1.6600072318248710879,0,587.56050508644909769,0,0.02684169767648292293,183227.9542236328125,183226.18114887923002,2.2818782401741373178,1.3285872199452342102,0,247,247,3
105.51417615256113436,1.1879639890459756657,1.1879639890459756657,59.72273401120202152,14.033758661669683221,14.033758661669683221,0.92211188324079618184,0.92211188324079618184,1.6581814311172855536,0,586.75112119909010744,0,0.021045830485435512713,138666.71280097961426,138666.24558497220278,2.2305113328866355005,1.0002791480231962851,0,248,248,3
